479867,Tottenham Hotspur,1,0,Swansea City,58,Soldado,25/08/2013,2013/2014,PremierLeague,England,0 - 0,1 - 0
479870,Chelsea,1,0,Aston Villa,73,BranislavIvanovi,21/08/2013,2013/2014,PremierLeague,England,1 - 1,2 - 1
479870,Chelsea,0,1,Aston Villa,6OG,Luna,21/08/2013,2013/2014,PremierLeague,England,1 - 1,2 - 1
479870,Chelsea,0,1,Aston Villa,45,ChristianBenteke,21/08/2013,2013/2014,PremierLeague,England,1 - 1,2 - 1
479868,Arsenal,1,0,Tottenham Hotspur,23,OlivierGiroud,01/09/2013,2013/2014,PremierLeague,England,1 - 0,1 - 0
479869,Cardiff City,0,0,Everton,,,31/08/2013,2013/2014,PremierLeague,England,0 - 0,0 - 0
479872,Liverpool,1,0,Manchester United,4,DanielSturridge,01/09/2013,2013/2014,PremierLeague,England,1 - 0,1 - 0
479873,Manchester City,1,0,Hull City,90,YayaTour,31/08/2013,2013/2014,PremierLeague,England,0 - 0,2 - 0
479873,Manchester City,1,0,Hull City,65,Negredo,31/08/2013,2013/2014,PremierLeague,England,0 - 0,2 - 0
479871,Crystal Palace,1,0,Sunderland,9,DannyGabbidon,31/08/2013,2013/2014,PremierLeague,England,1 - 0,3 - 1
479871,Crystal Palace,1,0,Sunderland,92,StuartO'Keefe,31/08/2013,2013/2014,PremierLeague,England,1 - 0,3 - 1
479871,Crystal Palace,1,0,Sunderland,79,DwightGayle,31/08/2013,2013/2014,PremierLeague,England,1 - 0,3 - 1
479871,Crystal Palace,0,1,Sunderland,64,StevenFletcher,31/08/2013,2013/2014,PremierLeague,England,1 - 0,3 - 1
479874,Newcastle United,1,0,Fulham,86,HatemBenArfa,31/08/2013,2013/2014,PremierLeague,England,0 - 0,1 - 0
479875,Norwich City,1,0,Southampton,68,NathanRedmond,31/08/2013,2013/2014,PremierLeague,England,0 - 0,1 - 0
479876,West Bromwich Albion,0,1,Swansea City,83,Pablo,01/09/2013,2013/2014,PremierLeague,England,0 - 1,0 - 2
479876,West Bromwich Albion,0,1,Swansea City,22,BenDavies,01/09/2013,2013/2014,PremierLeague,England,0 - 1,0 - 2
